Type,Name,Descriptions
Prof,"Park, Sunju","Director, Professor, School of Buisness at Yonsei University"
Prof,"Chang, Byenghee","Professor, Department of Journalism and Mass Communication at Sungkyunkwan University"
Prof,"Choi, Jaewon","Assistant Professor, Global Business School at Soonchunhyang University"
Prof,"Chung, Seungwha","Professor, School of Buisness at Yonsei University"
Prof,"Chung, Sungeun","Professor, Department of Journalism and Mass Communication at Sungkyunkwan University"
Prof,"Chung, Yerim","Assistant Professor, School of Buisness at Yonsei University"
Prof,"Hwang, Yongsuk","Professor, Department of Media and Communication at Konkuk University"
Prof,"Kim, Jaeyoung","Professor, Department of Communication at Chungnam University"
Prof,"Lee, Jeho","Professor, Business School at Seoul University"
Prof,"Shin, Donghee","Professor, School of Media and Communication at Jungang University"
Fellow,"Kim, Kitae","Research Fellow, Konkuk University"
Fellow,"Kim, Yangeun","Research Fellow, Konkuk University"
Fellow,"Lee, Juil","Research Fellow, Yonsei University"
Fellow,"Pyo, Nasung","Research Fellow, Yonsei University"
RA,,
